dataset,brid,pipeid
utilb,"152,448",{FE32E16A-CBAD-4E6D-B951-40231DEB51D2}
utilb,"152,449",{8D879AB5-0DC4-41AB-BE1B-519382C8EBD8}
utilb,"15,245",{2386A80B-DDC1-4E7A-9FCD-FA5A37F91F15}
utilb,"152,450",{55812342-E3E1-4A9B-B2B2-3FAC12BA9677}
utilb,"152,451",{33214500-FEBC-4D4C-A531-54938ABAE0DE}
utilb,"152,452",{AABB255F-2911-42D3-A82E-54D574082F84}
utilb,"152,454",{D386C1D9-9CC5-4846-AEF3-4AAA57575B17}
utilb,"152,455",{76C56D18-318A-46A9-9594-D231679BCAAC}
utilb,"152,456",{4CEB61C0-4186-41EE-9820-9ED7BE8AFD92}
utilb,"15,246",{CEC0BB4C-F395-4FF1-BB90-5195A9361B38}
utilb,"15,247",{2CE544CD-BD00-40B2-A30E-DC5049CE05C8}
utilb,"152,526",{0EF33225-ECA7-4023-A852-B8934EC41A76}
utilb,"152,471",{955231FD-86C8-4FB5-A5FD-A6AA88827D6F}
utilb,"152,477",{3FF6289E-06E1-4836-B1A7-6C6D3F4FA878}
utilb,"152,478",{D0FB8641-422A-4018-B7C7-0D28A1592464}
utilb,"152,479",
utilb,"15,248",{F00A999E-71EC-44F4-9811-C38FBAE7AF63}
utilb,"152,480",{D0FB8641-422A-4018-B7C7-0D28A1592464}
utilb,"152,481",{5D843DF9-2E92-4D90-A921-89C96BBF7D5C}
utilb,"152,485",{56F4475F-CBA3-4736-957C-440706FDB1F2}
utilb,"15,249",{F00A999E-71EC-44F4-9811-C38FBAE7AF63}
utilb,"152,492",
utilb,"152,494",{0BCEC95B-7F52-41C4-962A-C4C54A4A207C}
utilb,"1,525",{B46AFB51-9BE4-41CA-BFAF-4D67BA2127E9}
utilb,"15,250",{7ABCDCCA-569A-472F-90F1-A0C9F35C5D6A}
utilb,"15,251",{ECB798D9-C7AE-4A4F-BF0B-63C5E6AB3C91}
utilb,"152,512",{40CA8001-F1F2-42EC-8132-51447D52198F}
utilb,"15,252",{AAECE978-4041-4624-8D7A-BEBABFDF8BB6}
utilb,"152,521",{E9D6A950-9C2A-486B-AC65-860DC893986A}
utilb,"152,524",{86AA15BB-9B0F-42BC-9A15-375294ED8746}
utilb,"152,524",{FB2A7AC4-8F32-4A64-A333-31A76D10670C}
utilb,"152,528",{DBEB5F17-EC45-4F58-8BC0-22EEBAADBCB0}
utilb,"15,253",{14B6D583-AD72-4C70-BEB4-11868EFA8F21}
utilb,"152,530",{B4F792E7-DD08-47E7-BFDE-819970F06DB2}
utilb,"152,531",{1EB21CFF-0BE3-445F-9074-506D98FF1FE2}
utilb,"152,533",{4D343333-234A-4D38-81D2-C6B5B5F888BE}
utilb,"15,254",{9F04A748-3FF0-4A40-9693-D681D493F393}
utilb,"152,540",{74B95018-31FF-4B51-A25D-169535936520}
utilb,"152,546",{D02E15D2-6ED4-441E-A1AA-EC6AB64B4FF5}
utilb,"152,548",{5BB18A88-C58F-47BB-A32F-393A8A9ABACD}
utilb,"152,551",{08C29E9E-3A5F-4CC4-B447-1EB1ADCAAF11}
utilb,"152,555",
utilb,"152,556",{A40555CE-0F69-4278-8E3A-338FC51E8E72}
utilb,"152,558",{2422C050-D68B-4AD1-87D3-BD6611F3B4FC}
utilb,"15,256",{17D56B48-FCAC-4251-AFA8-E0C907FC929B}
utilb,"152,560",{AD36AFF5-BCDC-4D4B-8CC8-2A746085493D}
